ticker,start,end
AAPL,1996-01-02,
MSFT,1996-01-02,
NVDA,2001-11-30,
AMZN,2005-11-21,
GOOGL,2006-04-03,
META,2013-12-23,
JPM,1996-01-02,
BAC,1996-01-02,
WFC,1996-01-02,
GS,2002-07-22,
V,2009-12-21,
MA,2008-07-18,
XOM,1996-01-02,
CVX,1996-01-02,
COP,1996-01-02,
JNJ,1996-01-02,
PFE,1996-01-02,
MRK,1996-01-02,
UNH,1996-01-02,
LLY,1996-01-02,
ABBV,2013-01-02,
TMO,1997-01-02,
ABT,1996-01-02,
AMGN,1996-01-02,
PG,1996-01-02,
KO,1996-01-02,
PEP,1996-01-02,
WMT,1996-01-02,
COST,1996-01-02,
HD,1996-01-02,
MCD,1996-01-02,
NKE,1996-01-02,
SBUX,2000-06-08,
LOW,1996-01-02,
DIS,1996-01-02,
NFLX,2010-12-20,
T,1996-01-02,
VZ,1996-01-02,
CSCO,1996-01-02,
ORCL,1996-01-02,
IBM,1996-01-02,
INTC,1996-01-02,
AMD,1996-01-02,2013-09-23
AMD,2017-03-20,
TXN,1996-01-02,
QCOM,1999-07-22,
CRM,2008-09-15,
ADBE,1997-05-06,
CAT,1996-01-02,
DE,1996-01-02,
BA,1996-01-02,
GE,1996-01-02,
HON,1996-01-02,
UPS,2002-07-22,
LMT,1996-01-02,
RTX,1996-01-02,
UNP,1996-01-02,
