ticker,name,asset_type,sector
A,A,stock,Unknown
AAL,AAL,stock,Unknown
AAP,AAP,stock,Unknown
AAPL,AAPL,stock,Unknown
ABBV,ABBV,stock,Unknown
ABMD,ABMD,stock,Unknown
ABNB,ABNB,stock,Unknown
ABT,ABT,stock,Unknown
ACGL,ACGL,stock,Unknown
ACN,ACN,stock,Unknown
ADBE,ADBE,stock,Unknown
ADI,ADI,stock,Unknown
ADM,ADM,stock,Unknown
ADP,ADP,stock,Unknown
ADSK,ADSK,stock,Unknown
AEE,AEE,stock,Unknown
AEP,AEP,stock,Unknown
AES,AES,stock,Unknown
AET,AET,stock,Unknown
AFL,AFL,stock,Unknown
AGN,AGN,stock,Unknown
AIG,AIG,stock,Unknown
AIV,AIV,stock,Unknown
AIZ,AIZ,stock,Unknown
AJG,AJG,stock,Unknown
AKAM,AKAM,stock,Unknown
ALB,ALB,stock,Unknown
ALGN,ALGN,stock,Unknown
ALK,ALK,stock,Unknown
ALL,ALL,stock,Unknown
ALLE,ALLE,stock,Unknown
ALXN,ALXN,stock,Unknown
AMAT,AMAT,stock,Unknown
AMCR,AMCR,stock,Unknown
AMD,AMD,stock,Unknown
AME,AME,stock,Unknown
AMG,AMG,stock,Unknown
AMGN,AMGN,stock,Unknown
AMP,AMP,stock,Unknown
AMT,AMT,stock,Unknown
AMTM,AMTM,stock,Unknown
AMZN,AMZN,stock,Unknown
ANDV,ANDV,stock,Unknown
ANET,ANET,stock,Unknown
ANSS,ANSS,stock,Unknown
AON,AON,stock,Unknown
AOS,AOS,stock,Unknown
APA,APA,stock,Unknown
APC,APC,stock,Unknown
APD,APD,stock,Unknown
APH,APH,stock,Unknown
APO,APO,stock,Unknown
APP,APP,stock,Unknown
APTV,APTV,stock,Unknown
ARE,ARE,stock,Unknown
ARES,ARES,stock,Unknown
ARNC,ARNC,stock,Unknown
ATO,ATO,stock,Unknown
ATVI,ATVI,stock,Unknown
AVB,AVB,stock,Unknown
AVGO,AVGO,stock,Unknown
AVY,AVY,stock,Unknown
AWK,AWK,stock,Unknown
AXON,AXON,stock,Unknown
AXP,AXP,stock,Unknown
AYI,AYI,stock,Unknown
AZO,AZO,stock,Unknown
BA,BA,stock,Unknown
BAC,BAC,stock,Unknown
BALL,BALL,stock,Unknown
BAX,BAX,stock,Unknown
BBT,BBT,stock,Unknown
BBWI,BBWI,stock,Unknown
BBY,BBY,stock,Unknown
BDX,BDX,stock,Unknown
BEN,BEN,stock,Unknown
BF-B,BF-B,stock,Unknown
BFH,BFH,stock,Unknown
BG,BG,stock,Unknown
BHF,BHF,stock,Unknown
BHGE,BHGE,stock,Unknown
BIIB,BIIB,stock,Unknown
BIO,BIO,stock,Unknown
BK,BK,stock,Unknown
BKNG,BKNG,stock,Unknown
BKR,BKR,stock,Unknown
BLDR,BLDR,stock,Unknown
BLK,BLK,stock,Unknown
BMY,BMY,stock,Unknown
BNY,BNY,stock,Unknown
BR,BR,stock,Unknown
BRK-B,BRK-B,stock,Unknown
BRO,BRO,stock,Unknown
BSX,BSX,stock,Unknown
BWA,BWA,stock,Unknown
BX,BX,stock,Unknown
BXP,BXP,stock,Unknown
C,C,stock,Unknown
CA,CA,stock,Unknown
CAG,CAG,stock,Unknown
CAH,CAH,stock,Unknown
CARR,CARR,stock,Unknown
CASY,CASY,stock,Unknown
CAT,CAT,stock,Unknown
CB,CB,stock,Unknown
CBOE,CBOE,stock,Unknown
CBRE,CBRE,stock,Unknown
CBS,CBS,stock,Unknown
CCI,CCI,stock,Unknown
CCL,CCL,stock,Unknown
CDNS,CDNS,stock,Unknown
CDW,CDW,stock,Unknown
CE,CE,stock,Unknown
CEG,CEG,stock,Unknown
CELG,CELG,stock,Unknown
CERN,CERN,stock,Unknown
CF,CF,stock,Unknown
CFG,CFG,stock,Unknown
CHD,CHD,stock,Unknown
CHK,CHK,stock,Unknown
CHRW,CHRW,stock,Unknown
CHTR,CHTR,stock,Unknown
CI,CI,stock,Unknown
CIEN,CIEN,stock,Unknown
CINF,CINF,stock,Unknown
CL,CL,stock,Unknown
CLX,CLX,stock,Unknown
CMA,CMA,stock,Unknown
CMCSA,CMCSA,stock,Unknown
CME,CME,stock,Unknown
CMG,CMG,stock,Unknown
CMI,CMI,stock,Unknown
CMS,CMS,stock,Unknown
CNC,CNC,stock,Unknown
CNP,CNP,stock,Unknown
COF,COF,stock,Unknown
COHR,COHR,stock,Unknown
COIN,COIN,stock,Unknown
COL,COL,stock,Unknown
COO,COO,stock,Unknown
COP,COP,stock,Unknown
COR,COR,stock,Unknown
COST,COST,stock,Unknown
COTY,COTY,stock,Unknown
CPAY,CPAY,stock,Unknown
CPB,CPB,stock,Unknown
CPRI,CPRI,stock,Unknown
CPRT,CPRT,stock,Unknown
CPT,CPT,stock,Unknown
CRH,CRH,stock,Unknown
CRL,CRL,stock,Unknown
CRM,CRM,stock,Unknown
CRWD,CRWD,stock,Unknown
CSCO,CSCO,stock,Unknown
CSGP,CSGP,stock,Unknown
CSRA,CSRA,stock,Unknown
CSX,CSX,stock,Unknown
CTAS,CTAS,stock,Unknown
CTLT,CTLT,stock,Unknown
CTRA,CTRA,stock,Unknown
CTSH,CTSH,stock,Unknown
CTVA,CTVA,stock,Unknown
CTXS,CTXS,stock,Unknown
CVNA,CVNA,stock,Unknown
CVS,CVS,stock,Unknown
CVX,CVX,stock,Unknown
CXO,CXO,stock,Unknown
CZR,CZR,stock,Unknown
D,D,stock,Unknown
DAL,DAL,stock,Unknown
DASH,DASH,stock,Unknown
DAY,DAY,stock,Unknown
DD,DD,stock,Unknown
DDOG,DDOG,stock,Unknown
DE,DE,stock,Unknown
DECK,DECK,stock,Unknown
DELL,DELL,stock,Unknown
DFS,DFS,stock,Unknown
DG,DG,stock,Unknown
DGX,DGX,stock,Unknown
DHI,DHI,stock,Unknown
DHR,DHR,stock,Unknown
DIS,DIS,stock,Unknown
DISCA,DISCA,stock,Unknown
DISCK,DISCK,stock,Unknown
DISH,DISH,stock,Unknown
DLR,DLR,stock,Unknown
DLTR,DLTR,stock,Unknown
DOC,DOC,stock,Unknown
DOV,DOV,stock,Unknown
DOW,DOW,stock,Unknown
